  
       XFOIL         Version 6.96
  
 Calculated polar for: FAD18                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.3017   0.01806   0.01134  -0.0277   1.0000   0.0370
  -3.500  -0.2520   0.01441   0.00723  -0.0255   1.0000   0.0421
  -3.000  -0.2035   0.01272   0.00551  -0.0239   1.0000   0.0848
  -2.500  -0.1549   0.01129   0.00406  -0.0229   1.0000   0.1242
  -2.000  -0.0843   0.00887   0.00355  -0.0274   0.9863   0.5589
  -1.500  -0.0108   0.00787   0.00357  -0.0289   0.9576   0.8875
  -1.000   0.0977   0.00763   0.00301  -0.0386   0.9226   1.0000
  -0.500   0.1524   0.00767   0.00271  -0.0375   0.8559   1.0000
   0.000   0.2012   0.00788   0.00254  -0.0352   0.7971   1.0000
   0.500   0.2506   0.00814   0.00247  -0.0333   0.7420   1.0000
   1.000   0.3015   0.00846   0.00248  -0.0319   0.6949   1.0000
   1.500   0.3525   0.00882   0.00256  -0.0305   0.6480   1.0000
   2.000   0.4045   0.00919   0.00269  -0.0295   0.6052   1.0000
   2.500   0.4567   0.00955   0.00287  -0.0286   0.5630   1.0000
   3.000   0.5091   0.00994   0.00311  -0.0277   0.5219   1.0000
   3.500   0.5615   0.01035   0.00340  -0.0269   0.4799   1.0000
   4.000   0.6138   0.01082   0.00391  -0.0261   0.4392   1.0000
   4.500   0.6659   0.01129   0.00430  -0.0253   0.3953   1.0000
   5.000   0.7179   0.01185   0.00480  -0.0246   0.3540   1.0000
   5.500   0.7695   0.01250   0.00540  -0.0239   0.3130   1.0000
   6.000   0.8199   0.01325   0.00602  -0.0231   0.2632   1.0000
   6.500   0.8696   0.01421   0.00687  -0.0224   0.2121   1.0000
   7.000   0.9183   0.01531   0.00804  -0.0217   0.1533   1.0000
   7.500   0.9632   0.01724   0.00982  -0.0205   0.1007   1.0000
   8.000   1.0036   0.02034   0.01305  -0.0185   0.0670   1.0000
   8.500   1.0498   0.02180   0.01475  -0.0174   0.0505   1.0000
   9.000   1.0827   0.02633   0.01965  -0.0149   0.0343   1.0000
   9.500   1.1255   0.02702   0.02028  -0.0143   0.0208   1.0000
  10.000   1.1289   0.03642   0.03058  -0.0101   0.0158   1.0000
  10.500   1.1447   0.04100   0.03562  -0.0078   0.0141   1.0000
  11.000   1.1438   0.04614   0.04120  -0.0053   0.0125   1.0000
  11.500   1.1207   0.05438   0.04991  -0.0065   0.0120   1.0000
  12.000   1.0879   0.06632   0.06229  -0.0136   0.0120   1.0000
