  
       XFOIL         Version 6.96
  
 Calculated polar for: FAD18                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.2609   0.00913   0.00464  -0.0332   0.9083   0.0096
  -3.500  -0.2108   0.00788   0.00293  -0.0314   0.8381   0.0097
  -1.500   0.0051   0.00612   0.00083  -0.0289   0.6398   0.1970
  -1.000   0.0614   0.00626   0.00071  -0.0286   0.6032   0.1812
  -0.500   0.1151   0.00577   0.00062  -0.0284   0.5628   0.3564
   0.000   0.1687   0.00534   0.00060  -0.0281   0.5267   0.5360
   0.500   0.2226   0.00509   0.00062  -0.0277   0.4974   0.6671
   1.500   0.3253   0.00480   0.00078  -0.0252   0.4199   0.9171
   2.000   0.4015   0.00488   0.00086  -0.0295   0.3916   0.9996
   2.500   0.4560   0.00509   0.00095  -0.0291   0.3638   1.0000
   3.000   0.5099   0.00537   0.00108  -0.0287   0.3277   1.0000
   3.500   0.5638   0.00569   0.00125  -0.0283   0.2914   1.0000
   4.000   0.6170   0.00616   0.00153  -0.0278   0.2367   1.0000
   4.500   0.6704   0.00663   0.00179  -0.0275   0.1931   1.0000
   5.000   0.7215   0.00755   0.00226  -0.0270   0.1043   1.0000
   5.500   0.7742   0.00819   0.00269  -0.0266   0.0660   1.0000
   6.000   0.8269   0.00884   0.00319  -0.0263   0.0389   1.0000
   6.500   0.8802   0.00938   0.00365  -0.0260   0.0283   1.0000
   7.000   0.9347   0.00967   0.00411  -0.0258   0.0311   1.0000
   7.500   0.9869   0.01036   0.00473  -0.0254   0.0204   1.0000
   8.000   1.0398   0.01090   0.00532  -0.0251   0.0148   1.0000
   8.500   1.0914   0.01163   0.00604  -0.0248   0.0114   1.0000
   9.000   1.1414   0.01260   0.00694  -0.0243   0.0049   1.0000
   9.500   1.1912   0.01354   0.00787  -0.0237   0.0033   1.0000
