Airfoil: 7037B
Builder: D. Thompson
Comment: clean
5
59600
11
-0.161   0.0237    -3.82
-0.031   0.0210    -2.28
0.100   0.0162    -0.76
0.279   0.0220     0.79
0.531   0.0259     2.35
0.690   0.0265     3.89
0.826   0.0253     5.43
0.953   0.0284     6.97
1.058   0.0326     8.48
1.160   0.0380    10.00
1.239   0.0463    11.54
99500
11
-0.188   0.0222    -3.82
-0.031   0.0170    -2.28
0.134   0.0148    -0.75
0.370   0.0163     0.82
0.536   0.0161     2.36
0.676   0.0159     3.90
0.810   0.0171     5.43
0.942   0.0193     6.96
1.117   0.0297     9.35
1.154   0.0320    10.01
1.220   0.0428    11.53
200100
11
-0.181   0.0189    -4.79
-0.026   0.0126    -3.29
0.137   0.0112    -1.74
0.278   0.0096    -0.21
0.425   0.0095     1.33
0.581   0.0103     2.87
0.749   0.0117     4.42
0.895   0.0139     5.95
1.029   0.0170     7.49
1.135   0.0221     8.99
1.229   0.0276    10.52
299400
11
-0.157   0.0160    -4.85
-0.010   0.0125    -3.28
0.235   0.0087    -0.64
0.269   0.0083    -0.26
0.448   0.0076     1.37
0.603   0.0088     2.88
0.759   0.0103     4.43
0.898   0.0124     5.91
1.034   0.0152     7.48
1.149   0.0195     9.00
1.249   0.0236    10.52
300400
1
0.131   0.0102    -1.82
Airfoil: 7037BF10
Builder: D. Thompson
Comment: clean: flap = 10 degs
6
59500
11
-0.027   0.0289    -4.82
0.111   0.0242    -3.28
0.240   0.0228    -1.75
0.391   0.0281    -0.21
0.576   0.0325     1.32
0.846   0.0318     2.91
1.071   0.0230     5.14
1.127   0.0272     5.98
1.201   0.0307     7.50
1.262   0.0424     9.00
1.323   0.0490    10.51
99400
11
0.181   0.0235    -3.77
0.301   0.0214    -2.22
0.444   0.0224    -0.70
0.570   0.0262     0.49
0.908   0.0215     2.41
1.051   0.0187     3.97
1.167   0.0228     5.47
1.262   0.0271     7.01
1.314   0.0367     8.52
1.370   0.0445    10.03
1.397   0.0541    11.27
198400
11
0.306   0.0155    -3.76
0.469   0.0148    -2.13
0.620   0.0154    -0.65
0.779   0.0153     0.88
0.932   0.0131     2.42
1.062   0.0163     3.96
1.175   0.0198     5.48
1.260   0.0247     6.98
1.330   0.0302     8.52
1.393   0.0359    10.00
1.427   0.0443    11.54
200800
2
0.114   0.0190    -5.82
0.215   0.0166    -4.70
298800
11
0.106   0.0154    -5.78
0.247   0.0135    -4.26
0.427   0.0128    -2.72
0.578   0.0147    -1.17
0.744   0.0117     0.37
0.877   0.0110     1.89
1.007   0.0139     3.42
1.125   0.0172     4.96
1.218   0.0215     6.53
1.294   0.0260     8.00
1.374   0.0299     9.50
301400
2
-0.142   0.0648    -7.84
0.010   0.0200    -6.80
Airfoil: 7037BF5
Builder: D. Thompson
Comment: clean: flap = 5 degs
5
59900
11
-0.035   0.0251    -3.78
0.097   0.0204    -2.25
0.253   0.0231    -0.72
0.431   0.0250     0.83
0.678   0.0300     2.38
0.897   0.0225     3.94
1.013   0.0220     5.47
1.126   0.0267     7.00
1.195   0.0356     8.49
1.272   0.0434    10.02
1.313   0.0559    11.54
99900
11
-0.005   0.0255    -4.80
