  
       XFOIL         Version 6.96
  
 Calculated polar for: FAD18                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.3108   0.02972   0.01996  -0.0305   1.0000   0.1306
  -3.500  -0.2603   0.02498   0.01473  -0.0289   1.0000   0.1676
  -3.000  -0.2107   0.02135   0.01116  -0.0273   1.0000   0.2385
  -2.500  -0.1689   0.01629   0.00826  -0.0225   1.0000   0.5786
  -2.000  -0.0796   0.01495   0.00692  -0.0247   1.0000   1.0000
  -1.500  -0.0444   0.01494   0.00638  -0.0224   1.0000   1.0000
  -1.000  -0.0083   0.01516   0.00600  -0.0204   1.0000   1.0000
  -0.500   0.0276   0.01570   0.00620  -0.0192   1.0000   1.0000
   0.000   0.0630   0.01658   0.00682  -0.0189   1.0000   1.0000
   0.500   0.1004   0.01787   0.00792  -0.0202   0.9986   1.0000
   1.000   0.2358   0.01940   0.00936  -0.0379   0.9408   1.0000
   1.500   0.3634   0.02012   0.01021  -0.0510   0.8851   1.0000
   2.000   0.4342   0.02081   0.01092  -0.0525   0.8274   1.0000
   2.500   0.4926   0.02141   0.01152  -0.0505   0.7739   1.0000
   3.000   0.5435   0.02217   0.01224  -0.0468   0.7254   1.0000
   3.500   0.5880   0.02329   0.01342  -0.0436   0.6725   1.0000
   4.000   0.6341   0.02437   0.01455  -0.0402   0.6224   1.0000
   4.500   0.6807   0.02527   0.01573  -0.0361   0.5726   1.0000
   5.000   0.7268   0.02656   0.01703  -0.0328   0.5227   1.0000
   5.500   0.7720   0.02792   0.01857  -0.0298   0.4677   1.0000
   6.000   0.8188   0.02905   0.01965  -0.0263   0.4147   1.0000
   6.500   0.8620   0.03078   0.02154  -0.0232   0.3542   1.0000
   7.000   0.9070   0.03261   0.02319  -0.0198   0.2952   1.0000
   7.500   0.9448   0.03522   0.02647  -0.0167   0.2317   1.0000
   8.000   0.9802   0.04060   0.03226  -0.0142   0.1903   1.0000
   8.500   1.0109   0.04464   0.03655  -0.0118   0.1516   1.0000
   9.000   1.0240   0.05428   0.04675  -0.0104   0.1363   1.0000
   9.500   1.0059   0.06556   0.05889  -0.0110   0.1322   1.0000
  10.000   0.9600   0.07898   0.07261  -0.0154   0.1343   1.0000
  10.500   0.9148   0.09603   0.08960  -0.0252   0.1377   1.0000
  11.000   0.8403   0.12253   0.11575  -0.0478   0.1633   1.0000
  11.500   0.8383   0.13565   0.12887  -0.0514   0.1713   1.0000
