Airfoil A18
Builder R. Cooney
Comment clean
7
40000.
7
0.117   0.0244    -1.16
0.324   0.0202     0.93
0.540   0.0349     2.82
0.842   0.0405     5.05
1.007   0.0314     7.04
1.108   0.0283     9.08
1.155   0.0572    11.10
60700.
9
0.027   0.0229    -2.07
0.216   0.0182    -0.17
0.407   0.0201     1.14
0.591   0.0214     2.44
0.810   0.0231     4.17
0.967   0.0207     6.02
1.057   0.0243     7.62
1.141   0.0318     9.15
1.186   0.0395    10.41
100700.
9
0.084   0.0183    -1.53
0.266   0.0141    -0.37
0.468   0.0147     1.10
0.653   0.0161     2.82
0.787   0.0153     4.38
0.920   0.0165     5.94
1.024   0.0240     7.60
1.105   0.0300     9.01
1.145   0.0366    10.18
201800.
9
0.199   0.0126    -1.55
0.385   0.0093     0.17
0.525   0.0089     1.53
0.673   0.0100     2.93
0.809   0.0117     4.38
0.906   0.0140     5.59
1.045   0.0196     7.50
1.135   0.0249     8.93
1.191   0.0316    10.22
204500.
2
-0.375   0.0685    -5.29
-0.093   0.0178    -3.39
300400.
9
0.122   0.0108    -2.37
0.327   0.0100    -0.45
0.474   0.0080     0.94
0.622   0.0082     2.39
0.792   0.0099     4.28
0.914   0.0139     5.81
1.077   0.0194     7.94
1.156   0.0234     9.31
1.192   0.0295    10.27
305600.
2
-0.332   0.0623    -5.35
-0.057   0.0137    -3.58
Airfoil BE50
Builder R. Cooney
Comment clean
4
60300
9
0.032   0.0206    -1.74
0.188   0.0158    -0.12
0.436   0.0140     1.36
0.619   0.0180     2.99
0.762   0.0227     4.52
0.868   0.0189     5.79
1.001   0.0276     7.47
1.120   0.0290     9.05
1.207   0.0347    10.53
101000
10
-0.129   0.0272    -3.48
0.019   0.0174    -1.75
0.235   0.0125    -0.28
0.462   0.0123     1.42
0.653   0.0146     3.46
0.730   0.0159     4.30
0.879   0.0193     5.99
0.995   0.0225     7.32
1.146   0.0271     9.23
1.199   0.0330    10.39
201700
11
-0.365   0.0707    -5.41
-0.090   0.0186    -3.12
0.100   0.0124    -1.73
0.244   0.0099    -0.44
0.434   0.0087     1.28
0.589   0.0098     2.81
0.739   0.0120     4.38
0.865   0.0147     5.72
1.031   0.0174     7.57
1.130   0.0204     8.84
1.209   0.0301    10.39
302700
11
-0.320   0.0618    -5.10
-0.088   0.0170    -3.45
0.068   0.0117    -2.18
0.261   0.0091    -0.34
0.427   0.0076     1.24
0.595   0.0087     2.90
0.736   0.0105     4.34
0.924   0.0133     6.22
1.061   0.0158     7.75
1.158   0.0204     9.19
1.222   0.0276    10.50
Airfoil CH10T
Builder C. Hollinger
Comment plain trip @ x/c = 40% (h/c = 0.2%; w/c = 0.9%)
2
199600
7
0.957   0.0185     1.32
1.052   0.0179     2.32
1.155   0.0174     3.43
1.306   0.0186     5.19
1.502   0.0212     7.29
1.696   0.0252     9.56
1.872   0.0310    11.71
202500
2
0.328   0.0518    -2.08
0.697   0.0281    -0.47
Airfoil E374B
Builder M. Bame
Comment clean
6
61200
17
-0.426   0.0342    -6.39
-0.372   0.0289    -5.30
-0.314   0.0224    -4.27
-0.230   0.0166    -3.27
-0.155   0.0166    -2.31
-0.015   0.0187    -1.20
0.104   0.0216    -0.18
0.253   0.0253     0.90
0.361   0.0275     1.86
0.426   0.0316     2.98
0.519   0.0337     3.92
0.669   0.0331     4.95
0.789   0.0324     6.02
0.887   0.0277     7.01
0.958   0.0266     8.00
0.987   0.0290     9.00
1.025   0.0364    10.01
101600
15
-0.295   0.0205    -4.22
-0.181   0.0156    -3.31
-0.012   0.0152    -2.23
0.152   0.0189    -1.10
0.236   0.0200    -0.24
0.312   0.0220     0.82
0.397   0.0249     1.84
0.490   0.0268     2.84
0.608   0.0273     4.01
0.709   0.0226     5.03
0.804   0.0196     5.96
0.903   0.0182     7.02
0.949   0.0241     8.02
0.977   0.0310     8.96
1.018   0.0413    10.02
102800
3
-0.455   0.0327    -6.37
-0.412   0.0255    -5.38
-0.328   0.0205    -4.35
152400
17
-0.462   0.0296    -6.44
-0.379   0.0203    -5.26
-0.234   0.0162    -4.26
-0.098   0.0125    -3.11
-0.031   0.0128    -2.22
0.082   0.0142    -1.08
0.235   0.0139    -0.20
0.331   0.0145     0.85
0.416   0.0154     1.82
0.521   0.0166     2.93
0.620   0.0168     3.96
0.712   0.0159     4.90
0.809   0.0152     5.91
0.907   0.0161     7.03
0.947   0.0244     8.05
0.987   0.0305     9.03
1.021   0.0381    10.01
203000
17
-0.436   0.0225    -6.37
-0.303   0.0169    -5.32
-0.176   0.0134    -4.28
-0.095   0.0115    -3.29
-0.023   0.0108    -2.28
0.079   0.0115    -1.20
0.233   0.0110    -0.16
0.334   0.0115     0.84
0.418   0.0122     1.80
0.515   0.0127     2.84
0.614   0.0130     3.87
0.726   0.0128     5.00
0.815   0.0129     5.93
0.891   0.0150     6.92
0.930   0.0222     7.95
0.973   0.0278     8.97
1.009   0.0360     9.98
303300
17
-0.405   0.0197    -6.36
-0.282   0.0147    -5.28
-0.188   0.0127    -4.13
-0.097   0.0107    -3.06
-0.013   0.0090    -2.10
0.078   0.0092    -1.03
0.192   0.0088    -0.01
0.350   0.0094     1.04
0.450   0.0097     2.08
0.549   0.0101     3.08
0.652   0.0103     4.08
0.758   0.0104     5.15
0.842   0.0111     6.08
0.898   0.0151     6.95
0.950   0.0209     8.03
0.998   0.0264     9.11
1.032   0.0342    10.13
Airfoil E387A
Builder B. Champine
Comment clean
5
61000
11
-0.250   0.0427    -5.36
-0.124   0.0245    -3.71
0.058   0.0233    -2.12
0.247   0.0228    -0.68
0.436   0.0281     0.93
0.610   0.0325     2.59
0.773   0.0371     4.18
0.888   0.0387     5.42
1.039   0.0377     6.99
1.198   0.0257     8.82
1.222   0.0393    10.15
101000
11
-0.289   0.0477    -5.38
-0.066   0.0226    -3.62
0.144   0.0162    -2.04
0.307   0.0162    -0.49
0.433   0.0185     0.81
0.588   0.0207     2.46
0.722   0.0213     3.86
0.895   0.0209     5.61
1.023   0.0205     6.93
1.165   0.0226     8.70
1.192   0.0381    10.13
151600
11
-0.291   0.0498    -5.31
-0.029   0.0188    -3.46
0.101   0.0137    -2.11
0.254   0.0115    -0.50
0.395   0.0126     0.83
0.575   0.0147     2.54
0.733   0.0166     4.07
0.892   0.0167     5.65
1.027   0.0167     7.06
