Airfoil: 7037EF1
Builder: J. Robertson
Comment: clean, LE flap = -3 degs, TE flap = -2.5 degs
3
105616
18
-0.415   0.0410    -6.16
-0.346   0.0278    -5.19
-0.266   0.0212    -4.11
-0.176   0.0161    -2.96
-0.099   0.0144    -2.12
0.037   0.0130    -1.07
0.228   0.0134     0.01
0.355   0.0137     1.02
0.448   0.0144     2.01
0.539   0.0154     3.03
0.641   0.0158     4.13
0.730   0.0163     5.15
0.820   0.0175     6.13
0.898   0.0207     7.16
0.976   0.0250     8.21
1.037   0.0310     9.20
1.086   0.0385    10.22
1.121   0.0507    11.21
200149
19
-0.429   0.0363    -6.06
-0.331   0.0209    -4.83
-0.272   0.0174    -4.12
-0.115   0.0129    -2.94
-0.002   0.0113    -2.04
0.103   0.0102    -1.04
0.217   0.0097     0.14
0.309   0.0099     1.00
0.419   0.0099     2.10
0.524   0.0105     3.07
0.625   0.0113     4.08
0.728   0.0121     5.10
0.846   0.0149     6.41
0.916   0.0175     7.22
0.998   0.0209     8.24
1.062   0.0237     9.16
1.131   0.0297    10.33
1.170   0.0355    11.19
1.193   0.0454    12.21
299430
20
-0.460   0.0498    -6.33
-0.382   0.0248    -5.40
-0.224   0.0158    -3.97
-0.108   0.0110    -3.07
-0.021   0.0096    -2.28
0.096   0.0096    -1.11
0.200   0.0097    -0.10
0.310   0.0092     0.93
0.405   0.0090     1.87
0.514   0.0087     2.89
0.623   0.0096     3.92
0.723   0.0106     4.92
0.817   0.0125     5.92
0.917   0.0151     7.02
1.003   0.0173     7.97
1.085   0.0197     8.98
1.151   0.0235     9.97
1.206   0.0295    11.06
1.233   0.0382    12.06
1.233   0.0583    13.02
Airfoil: 7037EF2
Builder: J. Robertson
Comment: clean, LE flap = 0 degs, TE flap = 0 degs
3
99678
17
-0.272   0.0410    -5.19
-0.192   0.0277    -4.18
-0.098   0.0207    -3.11
-0.003   0.0163    -2.11
0.117   0.0142    -1.06
0.301   0.0152     0.05
0.429   0.0163     0.99
0.534   0.0162     2.10
0.618   0.0155     3.10
0.714   0.0158     4.08
0.820   0.0170     5.11
0.918   0.0183     6.14
1.003   0.0206     7.15
1.083   0.0225     8.25
1.145   0.0256     9.17
1.190   0.0312    10.19
1.226   0.0395    11.22
199620
17
-0.155   0.0198    -4.48
-0.056   0.0156    -3.65
0.100   0.0122    -2.34
0.208   0.0107    -1.37
0.310   0.0093    -0.30
0.410   0.0095     0.67
0.527   0.0100     1.78
0.622   0.0106     2.73
0.722   0.0116     3.76
0.831   0.0128     4.89
0.923   0.0144     5.85
